raw_data_AVG.Neighbourhood,total_AVG_crimes
Lambton Baby Point,58.8
Woodbine-Lumsden,63.400000000000006
Maple Leaf,68.4
Yonge-St.Clair,68.6
Markland Wood,68.8
Guildwood,68.80000000000001
Casa Loma,79.89999999999999
Old East York,80.1
Forest Hill South,82.4
Kingsway South,82.6
Mount Pleasant East,84.9
Centennial Scarborough,85
Humber Heights-Westmount,85.7
Lawrence Park North,85.7
Etobicoke West Mall,86.60000000000001
Bayview Woods-Steeles,90.10000000000001
Alderwood,91
Bridle Path-Sunnybrook-York Mills,93.3
Princess-Rosethorn,94.1
Forest Hill North,94.1
Pleasant View,95.1
Runnymede-Bloor West Village,95.60000000000001
Leaside-Bennington,97.2
Broadview North,99.1
Elms-Old Rexdale,99.1
Beechborough-Greenbrook,100.8
Rustic,101.5
Lawrence Park South,104.60000000000001
Edenbridge-Humber Valley,105.7
Humewood-Cedarvale,107.8
Danforth East York,110.89999999999999
Caledonia-Fairbank,113
Blake-Jones,113.5
Thistletown-Beaumond Heights,115.6
Playter Estates-Danforth,118.2
Highland Creek,119.49999999999999
Long Branch,120.8
Bathurst Manor,121.1
Keelesdale-Eglinton West,131.39999999999998
Henry Farm,131.7
Eringate-Centennial-West Deane,131.7
Wychwood,133.8
Steeles,134.39999999999998
Hillcrest Village,135.2
Rexdale-Kipling,135.6
Yonge-Eglinton,137.4
Danforth,140.99999999999997
Newtonbrook East,142.5
Ionview,143.10000000000002
Weston-Pellam Park,143.89999999999998
Woodbine Corridor,146.7
North Riverdale,148.39999999999998
Thorncliffe Park,152
Corso Italia-Davenport,153.2
Bayview Village,154.70000000000002
Pelmo Park-Humberlea,155.10000000000002
Briar Hill-Belgravia,155.3
Lansing-Westgate,156.59999999999997
Mount Dennis,159.60000000000002
St.Andrew-Windfields,165.1
New Toronto,166.5
Little Portugal,169.90000000000003
Willowdale West,172.70000000000002
Dufferin Grove,175.1
Palmerston-Little Italy,175.5
Regent Park,176.60000000000002
High Park North,178.49999999999997
The Beaches,185.89999999999998
Clanton Park,186.3
Junction Area,186.6
Roncesvalles,190.2
Stonegate-Queensway,191.39999999999998
Taylor-Massey,191.79999999999998
Greenwood-Coxwell,192.8
Agincourt North,193.09999999999997
Brookhaven-Amesbury,193.60000000000002
Victoria Village,193.7
Flemingdon Park,194
Banbury-Don Mills,200.8
Westminster-Branson,203.09999999999997
Cliffcrest,203.20000000000002
Cabbagetown-South St.James Town,204.2
High Park-Swansea,205.7
Bedford Park-Nortown,206.60000000000002
Morningside,208.09999999999997
Englemount-Lawrence,208.2
Willowridge-Martingrove-Richview,209.29999999999998
Kingsview Village-The Westway,210.7
Oakwood Village,210.89999999999998
Rosedale-Moore Park,212.89999999999998
Mount Pleasant West,216
Tam O'Shanter-Sullivan,229.29999999999995
O'Connor-Parkview,236.90000000000003
University,242.8
Don Valley Village,249.5
Humbermede,253.8
Scarborough Village,256
Rockcliffe-Smythe,260.2
Trinity-Bellwoods,262.2
Agincourt South-Malvern West,275.1
Oakridge,276.9
Humber Summit,279.5
Newtonbrook West,282.4
North St.James Town,287.5
Birchcliffe-Cliffside,288.8
Parkwoods-Donalda,292.4
Milliken,300
L'Amoreaux,311.5
Eglinton East,311.59999999999997
East End-Danforth,316.59999999999997
Willowdale East,317.49999999999994
Weston,325.2
Yorkdale-Glen Park,334.2
Kennedy Park,340.90000000000003
Rouge,341.00000000000006
Black Creek,345.6
Dorset Park,352
South Parkdale,353.8
Wexford/Maryvale,404.1
Niagara,411.7
Bendale,426.29999999999995
Mimico,428.6
Mount Olive-Silverstone-Jamestown,434
Malvern,439.09999999999997
Dovercourt-Wallace Emerson-Junction,441.5
Clairlea-Birchmount,453.09999999999997
South Riverdale,456.00000000000006
Glenfield-Jane Heights,463.5
Annex,486.6
Islington-City Centre West,548.6
West Hill,583.7
Woburn,634.3000000000001
Kensington-Chinatown,638.7
Downsview-Roding-CFB,663.6
York University Heights,665.5999999999999
Moss Park,800.1999999999999
West Humber-Clairville,951.8
Church-Yonge Corridor,1040.6
Bay Street Corridor,1137.6
Waterfront Communities-The Island,1292.2
