Neighborhood,total_Rate2019
Guildwood,504.20000000000005
Lawrence Park North,595.5
Pleasant View,625.8999999999999
Steeles,629.6
Markland Wood,634.9
Yonge-St.Clair,646.5
Eringate-Centennial-West Deane,661.8
Leaside-Bennington,689.4
Bayview Woods-Steeles,691.7000000000002
Woodbine-Lumsden,699.2
Humewood-Cedarvale,710
Bathurst Manor,711.9
Alderwood,730.1
Etobicoke West Mall,734.3
Agincourt North,735.2
Humber Heights-Westmount,739.9
Willowdale East,747.5
Centennial Scarborough,748.4
Danforth East York,750.8000000000001
Mount Pleasant East,763.1
Lambton Baby Point,763.9000000000001
Westminster-Branson,776.4
Bayview Village,780.4999999999999
Kingsview Village-The Westway,786.3000000000002
Edenbridge-Humber Valley,791.8000000000001
Banbury-Don Mills,798.1
Maple Leaf,801.2
Old East York,801.4
Rouge,802.1999999999999
Thorncliffe Park,819.6
Stonegate-Queensway,822.3
The Beaches,848.5000000000001
Tam O'Shanter-Sullivan,852.5999999999999
L'Amoreaux,861.5
Parkwoods-Donalda,861.9999999999999
Englemount-Lawrence,871.5999999999999
Ionview,872.3000000000001
Flemingdon Park,875.4
High Park North,889.0000000000001
Lawrence Park South,902.5000000000001
Casa Loma,911.6999999999999
Don Valley Village,913.1
Hillcrest Village,915.3
Forest Hill South,941.2
Wychwood,961.7
Forest Hill North,968.2
Princess-Rosethorn,977.1999999999999
Willowridge-Martingrove-Richview,983.9
Mount Pleasant West,991.2
Broadview North,1008.8000000000001
Lansing-Westgate,1020.9000000000001
High Park-Swansea,1028.2
Newtonbrook East,1031.2
Highland Creek,1032.4
Kingsway South,1046.2
Henry Farm,1055.7
Mount Dennis,1074
Bedford Park-Nortown,1075.9
St.Andrew-Windfields,1089.2
Rockcliffe-Smythe,1128.3
Little Portugal,1144
Malvern,1153.1
Rustic,1156.8999999999999
Runnymede-Bloor West Village,1161.9
Clanton Park,1189.9
Willowdale West,1192.6
Brookhaven-Amesbury,1193.9000000000003
Keelesdale-Eglinton West,1202.7
Caledonia-Fairbank,1215.5
Woodbine Corridor,1227.9
Woburn,1237.8999999999999
Junction Area,1253.1000000000001
Briar Hill-Belgravia,1276.6000000000001
Newtonbrook West,1292.6
Corso Italia-Davenport,1294.8
Elms-Old Rexdale,1300.8
Long Branch,1309
Dorset Park,1311.9
Victoria Village,1313.6999999999998
Bridle Path-Sunnybrook-York Mills,1316.7
Rosedale-Moore Park,1319.1000000000001
Morningside,1334.8000000000002
Oakwood Village,1343.6000000000001
O'Connor-Parkview,1344.1
Islington-City Centre West,1344.1999999999998
Taylor-Massey,1364.5
Palmerston-Little Italy,1374.1999999999998
Agincourt South-Malvern West,1384.7999999999997
Eglinton East,1391.7999999999997
Milliken,1392.6
Mount Olive-Silverstone-Jamestown,1392.8
East End-Danforth,1398.3999999999999
Blake-Jones,1410.6000000000001
Bendale,1411.8999999999999
Cliffcrest,1418.2
North Riverdale,1418.3
Thistletown-Beaumond Heights,1419
Birchcliffe-Cliffside,1422.1000000000001
Mimico,1469.2
Rexdale-Kipling,1472.1
Weston-Pellam Park,1486.8
Danforth,1500.1000000000001
Dovercourt-Wallace Emerson-Junction,1504.4
Greenwood-Coxwell,1505.2
New Toronto,1526.6000000000001
Roncesvalles,1549.4
Dufferin Grove,1552.8000000000002
Yonge-Eglinton,1565.5
Scarborough Village,1572.6000000000001
Niagara,1581.1
Beechborough-Greenbrook,1596.5000000000002
Wexford/Maryvale,1604.7
Black Creek,1674.5000000000002
Clairlea-Birchmount,1723.3
Glenfield-Jane Heights,1744.9
Trinity-Bellwoods,1751.7
South Riverdale,1757.8
Pelmo Park-Humberlea,1762.6999999999998
Playter Estates-Danforth,1781.1
Oakridge,1819.9999999999998
Weston,1861.8999999999999
Kennedy Park,1886.3000000000002
South Parkdale,1903.8999999999999
Annex,1978.7999999999997
North St.James Town,1993
Humbermede,2090.7
Waterfront Communities-The Island,2139.2
Downsview-Roding-CFB,2279.5
West Hill,2303.7
Cabbagetown-South St.James Town,2373.8
Regent Park,2425.3000000000006
York University Heights,2642.0000000000005
Yorkdale-Glen Park,2877.7000000000003
Humber Summit,2923.6999999999994
West Humber-Clairville,3043.9
University,3194.3999999999996
Kensington-Chinatown,4307.6
Church-Yonge Corridor,4537.3
Moss Park,5281.3
Bay Street Corridor,5314.500000000001
