raw_data_AVG.Neighbourhood,total_AVG_crimes_w
Markland Wood,117.99999999999999
Forest Hill South,125.10000000000001
Lambton Baby Point,126.1
Yonge-St.Clair,136.3
Maple Leaf,138.6
Woodbine-Lumsden,141.8
Lawrence Park North,145.69999999999996
Kingsway South,146
Bridle Path-Sunnybrook-York Mills,152.2
Lawrence Park South,155.7
Princess-Rosethorn,156.8
Humber Heights-Westmount,157.6
Casa Loma,159.2
Guildwood,160.79999999999998
Mount Pleasant East,161.5
Forest Hill North,165.4
Edenbridge-Humber Valley,165.89999999999998
Leaside-Bennington,171.09999999999997
Alderwood,171.2
Bayview Woods-Steeles,175.2
Old East York,181.40000000000006
Runnymede-Bloor West Village,186
Centennial Scarborough,186.7
Etobicoke West Mall,194.69999999999996
Pleasant View,199.70000000000002
Humewood-Cedarvale,209.39999999999995
Steeles,222.69999999999996
Elms-Old Rexdale,222.8
Bathurst Manor,231.4
Rustic,231.4
Beechborough-Greenbrook,233.1
Thistletown-Beaumond Heights,239.20000000000005
Broadview North,240.00000000000003
Highland Creek,242.6
Danforth East York,248.29999999999998
Eringate-Centennial-West Deane,257.2
Long Branch,258.70000000000005
Hillcrest Village,267.20000000000005
Blake-Jones,267.40000000000003
Playter Estates-Danforth,269.09999999999997
Caledonia-Fairbank,271.20000000000005
St.Andrew-Windfields,274.29999999999995
Keelesdale-Eglinton West,282.09999999999997
Newtonbrook East,285.7
Wychwood,289.20000000000005
Henry Farm,290.1
Rexdale-Kipling,295.2
Pelmo Park-Humberlea,301.30000000000007
North Riverdale,305.09999999999997
Bedford Park-Nortown,307.6
Danforth,309.49999999999994
Yonge-Eglinton,309.7
Bayview Village,317.70000000000005
Lansing-Westgate,319.5
Briar Hill-Belgravia,325
Woodbine Corridor,335.2
Weston-Pellam Park,342.2
Ionview,344.80000000000007
Corso Italia-Davenport,348.79999999999995
Clanton Park,350.80000000000007
Thorncliffe Park,364
Palmerston-Little Italy,369.7
Little Portugal,371.7
Agincourt North,373.69999999999993
Banbury-Don Mills,376.8
Mount Dennis,378.1
Stonegate-Queensway,378.5
High Park North,381.9
New Toronto,389.70000000000005
The Beaches,393.8
Willowdale West,397.40000000000003
Dufferin Grove,398.3
Junction Area,400.5
Roncesvalles,404.9
Brookhaven-Amesbury,407.90000000000003
Regent Park,419.90000000000003
Willowridge-Martingrove-Richview,420
Rosedale-Moore Park,428.29999999999995
Cabbagetown-South St.James Town,430.49999999999994
Greenwood-Coxwell,430.8
Taylor-Massey,438.2
Westminster-Branson,439.59999999999997
Englemount-Lawrence,440
Kingsview Village-The Westway,445.09999999999997
High Park-Swansea,445.5
Victoria Village,448.29999999999995
Cliffcrest,448.6
Mount Pleasant West,462.7
Tam O'Shanter-Sullivan,479.2
Oakwood Village,496.5
Flemingdon Park,497.2
Milliken,501.1
Humber Summit,518.5999999999999
University,534.1000000000001
Morningside,535.9000000000001
Don Valley Village,536.3000000000001
Agincourt South-Malvern West,538.8
Humbermede,549.8000000000001
O'Connor-Parkview,564.9
Trinity-Bellwoods,569.6999999999999
Rockcliffe-Smythe,570.9
Newtonbrook West,599.5999999999999
Scarborough Village,623.2
Oakridge,633.9
Parkwoods-Donalda,642.5
Willowdale East,646.6
Birchcliffe-Cliffside,653.2000000000002
North St.James Town,658.9000000000001
L'Amoreaux,683.1999999999999
Yorkdale-Glen Park,690.8999999999999
East End-Danforth,709.8
Rouge,723.1
Eglinton East,730.3
Weston,733.0000000000001
Dorset Park,744.8000000000001
Black Creek,825.6
Kennedy Park,828.3000000000001
Wexford/Maryvale,839.5000000000001
South Parkdale,841
Niagara,962.8
Bendale,975.1
Dovercourt-Wallace Emerson-Junction,980.9000000000001
South Riverdale,1000.8
Clairlea-Birchmount,1019.9000000000001
Annex,1022.0000000000001
Mount Olive-Silverstone-Jamestown,1031.4
Islington-City Centre West,1039.6
Mimico,1047.0999999999997
Malvern,1053
Glenfield-Jane Heights,1129.5000000000002
York University Heights,1410.9999999999998
Kensington-Chinatown,1445.1
West Hill,1456.1000000000001
Woburn,1492
Downsview-Roding-CFB,1525.1000000000001
West Humber-Clairville,1653.2
Moss Park,1885.1
Church-Yonge Corridor,2469.9
Bay Street Corridor,2806.9
Waterfront Communities-The Island,3081.9999999999995
